exam,Exam Block,slot,size,b2bs,confs,2i3s,score,score_norm
M1B355E1,13,13,29,1,0,7,1.0,0.034482758620689655
K41110E1,10,27,31,1,0,1,1.0,0.03225806451612903
V81101E1,15,31,32,1,0,5,1.0,0.03125
V7A107E1,1,11,67,2,0,24,2.0,0.029850746268656716
L81122E1,23,24,104,3,0,23,3.0,0.028846153846153848
R11003E1,19,28,109,3,0,15,3.0,0.027522935779816515
F311X1E1,21,26,37,1,0,17,1.0,0.02702702702702703
M31006E1,11,34,82,2,0,0,2.0,0.024390243902439025
V6A100E1,1,11,96,2,0,22,2.0,0.020833333333333332
Q33308E1,19,28,48,1,0,6,1.0,0.020833333333333332
F321Q2E1,13,33,98,2,0,97,2.0,0.02040816326530612
B11102E1,12,33,110,2,0,103,2.0,0.01818181818181818
V81109E1,13,13,56,1,0,14,1.0,0.017857142857142856
L11110E1,13,13,57,1,0,25,1.0,0.017543859649122806
G111GBE1,10,35,222,3,0,147,3.0,0.013513513513513514
L82125E1,11,34,83,1,0,0,1.0,0.012048192771084338
M31001E1,22,25,171,2,0,0,2.0,0.011695906432748537
N11103E1,20,28,90,1,0,74,1.0,0.011111111111111112
R21101E1,6,5,96,1,0,6,1.0,0.010416666666666666
L12404E1,23,24,105,1,0,104,1.0,0.009523809523809525
N1B202E1,23,24,123,1,0,12,1.0,0.008130081300813009
F11P02E1,23,24,129,1,0,24,1.0,0.007751937984496124
F311Q1E1,12,33,157,1,0,121,1.0,0.006369426751592357
HGBEM3E1,12,33,340,2,0,113,2.0,0.0058823529411764705
G11MA1E1,10,35,172,1,0,41,1.0,0.005813953488372093
L11150E1,22,26,56,0,0,8,0.0,0.0
G12AN1E1,19,34,103,0,0,0,0.0,0.0
F331Z8E1,15,4,9,0,0,0,0.0,0.0
G5BSBBE1,12,33,9,0,0,6,0.0,0.0
LKA1JAE1,2,12,6,0,0,0,0.0,0.0
C42307E1,11,25,37,0,0,3,0.0,0.0
Q83168E1,2,15,5,0,0,0,0.0,0.0
C13563E1,10,12,7,0,0,0,0.0,0.0
F3B1X4E1,6,12,78,0,0,0,0.0,0.0
HG3J5AE1,9,8,29,0,0,0,0.0,0.0
F331S2E1,4,3,82,0,0,40,0.0,0.0
G13ST3E1,17,22,16,0,0,0,0.0,0.0
D23315E1,2,35,4,0,0,0,0.0,0.0
D23360E1,22,11,8,0,0,0,0.0,0.0
Q3A307E1,23,13,26,0,0,4,0.0,0.0
G13CS2E1,20,22,10,0,0,0,0.0,0.0
L13520E1,13,22,15,0,0,0,0.0,0.0
F11O01E1,4,3,108,0,0,32,0.0,0.0
G53LCTE1,22,22,13,0,0,0,0.0,0.0
F13P02E1,10,34,11,0,0,0,0.0,0.0
F331X3E1,2,5,14,0,0,14,0.0,0.0
C43511E1,15,8,38,0,0,0,0.0,0.0
G13LO1E1,4,3,47,0,0,16,0.0,0.0
R23111E1,13,13,22,0,0,17,0.0,0.0
G11PR1E1,4,3,165,0,0,49,0.0,0.0
B11101E1,2,35,27,0,0,13,0.0,0.0
C43512E1,10,12,24,0,0,0,0.0,0.0
G13AN4E1,17,35,7,0,0,1,0.0,0.0
F331Z4E1,8,8,66,0,0,0,0.0,0.0
C13573E1,18,31,20,0,0,0,0.0,0.0
V13163E1,13,37,3,0,0,0,0.0,0.0
R81015E1,13,35,19,0,0,5,0.0,0.0
HG1J1AE1,2,5,23,0,0,12,0.0,0.0
K4C280E1,10,8,9,0,0,0,0.0,0.0
V71101E1,15,24,1,0,0,1,0.0,0.0
G13AL4E1,10,25,11,0,0,0,0.0,0.0
F331O6E1,10,34,26,0,0,0,0.0,0.0
F321T2E1,22,25,95,0,0,0,0.0,0.0
G11MA2E1,2,12,40,0,0,0,0.0,0.0
F321C6E1,2,7,11,0,0,2,0.0,0.0
B32325E1,8,8,110,0,0,0,0.0,0.0
V83123E1,2,33,20,0,0,14,0.0,0.0
H5C142E1,3,9,31,0,0,20,0.0,0.0
H3CMECE1,7,35,23,0,0,28,0.0,0.0
F3B1B3E1,6,5,40,0,0,19,0.0,0.0
C13569E1,20,4,19,0,0,0,0.0,0.0
C42306E1,8,8,62,0,0,0,0.0,0.0
L12330E1,14,30,35,0,0,0,0.0,0.0
C13564E1,22,25,39,0,0,3,0.0,0.0
G13QT1E1,22,37,31,0,0,8,0.0,0.0
F11O02E1,3,1,112,0,0,110,0.0,0.0
G13SP2E1,6,5,23,0,0,11,0.0,0.0
G12ST1E1,3,1,112,0,0,1,0.0,0.0
HG3S5FE1,20,35,11,0,0,2,0.0,0.0
F13I05E1,5,37,1,0,0,0,0.0,0.0
H62131E1,5,4,97,0,0,0,0.0,0.0
F13P01E1,15,31,111,0,0,0,0.0,0.0
G53FSPE1,2,12,49,0,0,0,0.0,0.0
H8B040E1,11,34,68,0,0,0,0.0,0.0
F13P05E1,8,8,8,0,0,0,0.0,0.0
HG3J5GE1,1,11,8,0,0,2,0.0,0.0
C72303E1,2,27,50,0,0,1,0.0,0.0
H8B045E1,6,5,63,0,0,1,0.0,0.0
G51DSDE1,19,28,55,0,0,30,0.0,0.0
H83024E1,19,28,67,0,0,2,0.0,0.0
F11I02E1,4,3,110,0,0,138,0.0,0.0
D23336E1,8,8,7,0,0,0,0.0,0.0
F321M1E1,15,31,94,0,0,94,0.0,0.0
F13I01E1,3,1,144,0,0,0,0.0,0.0
M13468E1,7,4,1,0,0,0,0.0,0.0
H7BMACE1,9,7,24,0,0,3,0.0,0.0
G5BCCNE1,4,3,81,0,0,27,0.0,0.0
G5BDBSE1,11,35,61,0,0,1,0.0,0.0
G51MC1E1,23,24,65,0,0,34,0.0,0.0
J5BSMAE1,20,11,14,0,0,1,0.0,0.0
H3CFRCE1,19,28,42,0,0,2,0.0,0.0
F13I06E1,9,22,1,0,0,0,0.0,0.0
J52EMME1,22,27,36,0,0,0,0.0,0.0
H3BMS2E1,16,15,124,0,0,76,0.0,0.0
G5P005E1,14,8,56,0,0,0,0.0,0.0
H3CENIE1,12,33,42,0,0,40,0.0,0.0
G12MM1E1,1,11,109,0,0,7,0.0,0.0
C82HUAE1,6,33,12,0,0,9,0.0,0.0
F12I02E1,9,7,122,0,0,7,0.0,0.0
B13103E1,2,33,8,0,0,0,0.0,0.0
G111ACE1,10,7,34,0,0,2,0.0,0.0
N13302E1,20,11,17,0,0,11,0.0,0.0
B33545E1,12,27,93,0,0,93,0.0,0.0
K1ATS1E1,2,5,54,0,0,1,0.0,0.0
C73507E1,8,8,40,0,0,0,0.0,0.0
F321Z3E1,17,37,106,0,0,1,0.0,0.0
C13562E1,20,4,33,0,0,0,0.0,0.0
G111DGE1,13,5,15,0,0,14,0.0,0.0
LKB2JAE1,1,26,5,0,0,3,0.0,0.0
C8CXDLE1,11,30,5,0,0,0,0.0,0.0
C71101E1,15,31,205,0,0,71,0.0,0.0
M3A002E1,9,8,155,0,0,0,0.0,0.0
K1BACOE1,11,34,52,0,0,0,0.0,0.0
G5BAIPE1,9,5,31,0,0,22,0.0,0.0
H22V02E1,10,7,75,0,0,21,0.0,0.0
F12P01E1,4,3,160,0,0,4,0.0,0.0
Q8B043E1,9,7,26,0,0,3,0.0,0.0
F13O02E1,1,11,103,0,0,9,0.0,0.0
L12303E1,4,3,137,0,0,36,0.0,0.0
G13ST6E1,8,8,39,0,0,0,0.0,0.0
B33563E1,14,3,18,0,0,0,0.0,0.0
B32321E1,11,34,119,0,0,0,0.0,0.0
H7CLASE1,19,9,9,0,0,2,0.0,0.0
H3CTSEE1,1,1,11,0,0,0,0.0,0.0
F311T1E1,6,5,175,0,0,125,0.0,0.0
H7CORGE1,1,11,22,0,0,11,0.0,0.0
J5CMUSE1,23,25,46,0,0,9,0.0,0.0
M3B049E1,9,7,9,0,0,3,0.0,0.0
C13572E1,20,4,7,0,0,0,0.0,0.0
K4C290E1,8,30,8,0,0,0,0.0,0.0
H6P002E1,9,11,25,0,0,11,0.0,0.0
Q83108E1,13,9,1,0,0,0,0.0,0.0
M3B030E1,21,26,184,0,0,34,0.0,0.0
F321Q6E1,13,13,18,0,0,19,0.0,0.0
HGBEM4E1,13,11,17,0,0,1,0.0,0.0
F331N3E1,20,31,65,0,0,1,0.0,0.0
B33549E1,8,12,93,0,0,0,0.0,0.0
N12403E1,13,13,81,0,0,72,0.0,0.0
H3BDM3E1,3,1,118,0,0,0,0.0,0.0
K1AHRSE1,20,12,53,0,0,0,0.0,0.0
V13111E1,2,13,13,0,0,2,0.0,0.0
F12O02E1,13,26,114,0,0,2,0.0,0.0
N1B410E1,19,28,114,0,0,31,0.0,0.0
H3BFM2E1,22,13,65,0,0,56,0.0,0.0
R81022E1,22,24,33,0,0,6,0.0,0.0
L13516E1,2,11,20,0,0,6,0.0,0.0
C82CUAE1,12,13,95,0,0,96,0.0,0.0
C12325E1,4,3,62,0,0,45,0.0,0.0
L11101E1,18,22,189,0,0,18,0.0,0.0
H22S02E1,18,22,75,0,0,0,0.0,0.0
F331N6E1,12,27,22,0,0,4,0.0,0.0
F331Q3E1,10,35,82,0,0,12,0.0,0.0
F331S9E1,18,22,22,0,0,0,0.0,0.0
G13RE1E1,8,7,7,0,0,1,0.0,0.0
G13PR2E1,22,27,7,0,0,0,0.0,0.0
H22G06E1,9,7,9,0,0,4,0.0,0.0
G13RE2E1,16,15,34,0,0,0,0.0,0.0
C13567E1,11,27,17,0,0,3,0.0,0.0
H3BFM2E2,23,24,65,0,0,1,0.0,0.0
F311V1E1,2,1,47,0,0,14,0.0,0.0
HG2J3DE1,20,27,27,0,0,0,0.0,0.0
G51HOCE1,2,8,28,0,0,0,0.0,0.0
B12301E1,8,30,16,0,0,6,0.0,0.0
F11I01E1,18,22,109,0,0,19,0.0,0.0
G5ABELE1,21,26,28,0,0,56,0.0,0.0
G5BGRAE1,14,31,53,0,0,7,0.0,0.0
F321E4E1,5,11,13,0,0,4,0.0,0.0
H7CFOOE1,5,4,41,0,0,0,0.0,0.0
F12X02E1,1,12,65,0,0,0,0.0,0.0
J1C125E1,8,12,11,0,0,0,0.0,0.0
K4P300E1,20,4,21,0,0,0,0.0,0.0
C11101E1,6,5,145,0,0,117,0.0,0.0
F331M9E1,2,1,8,0,0,8,0.0,0.0
F321S6E1,21,26,18,0,0,1,0.0,0.0
C12329E1,21,1,11,0,0,11,0.0,0.0
V43112E1,1,11,16,0,0,10,0.0,0.0
C12333E1,17,37,15,0,0,0,0.0,0.0
HGCEMAE1,9,7,46,0,0,8,0.0,0.0
G13LA1E1,20,1,4,0,0,2,0.0,0.0
H63122E1,13,13,97,0,0,63,0.0,0.0
G13AS5E1,12,33,19,0,0,3,0.0,0.0
N1B404E1,10,35,30,0,0,31,0.0,0.0
D22227E1,5,13,1,0,0,0,0.0,0.0
H31ENCE1,15,4,97,0,0,0,0.0,0.0
H3AFM1E1,9,7,102,0,0,84,0.0,0.0
B12302E1,6,5,16,0,0,15,0.0,0.0
H71EMPE1,17,37,61,0,0,0,0.0,0.0
H82046E1,10,8,63,0,0,0,0.0,0.0
J1A202E1,2,12,44,0,0,0,0.0,0.0
G12AL1E1,16,15,109,0,0,6,0.0,0.0
H2CM04E1,3,1,81,0,0,0,0.0,0.0
H71MIPE1,5,4,87,0,0,0,0.0,0.0
H3CNUEE1,3,22,33,0,0,0,0.0,0.0
C12331E1,23,5,14,0,0,9,0.0,0.0
H71MS1E1,14,30,28,0,0,27,0.0,0.0
J1B111E1,20,12,56,0,0,0,0.0,0.0
H81050E1,12,4,62,0,0,0,0.0,0.0
J51IMAE1,16,27,47,0,0,8,0.0,0.0
H3CFM3E1,21,25,4,0,0,0,0.0,0.0
B33548E1,10,8,93,0,0,0,0.0,0.0
H7CFAME1,7,33,43,0,0,22,0.0,0.0
H7CMSGE1,3,1,66,0,0,0,0.0,0.0
J1B203E1,4,31,11,0,0,9,0.0,0.0
H22C20E1,14,30,143,0,0,27,0.0,0.0
H82006E1,2,12,61,0,0,0,0.0,0.0
EN00P5E1,22,25,26,0,0,0,0.0,0.0
HG2J4AE1,8,8,28,0,0,0,0.0,0.0
H2CH05E1,7,9,92,0,0,77,0.0,0.0
HG2J3AE1,11,35,29,0,0,0,0.0,0.0
J1B109E1,10,3,47,0,0,0,0.0,0.0
H2CP01E1,5,4,71,0,0,0,0.0,0.0
EN00P3E1,18,31,25,0,0,0,0.0,0.0
J1B113E1,22,25,47,0,0,47,0.0,0.0
EN00C1E1,6,1,18,0,0,0,0.0,0.0
J1B116E1,17,3,11,0,0,0,0.0,0.0
J1C227E1,2,24,17,0,0,17,0.0,0.0
H72NNSE1,21,35,65,0,0,0,0.0,0.0
H31DM1E1,5,30,125,0,0,0,0.0,0.0
H21B00E1,18,22,90,0,0,0,0.0,0.0
H33MI2E1,14,31,75,0,0,33,0.0,0.0
F13O06E1,10,1,1,0,0,0,0.0,0.0
H82029E1,5,4,63,0,0,0,0.0,0.0
J1A110E1,5,4,43,0,0,0,0.0,0.0
EN00P7E1,20,34,22,0,0,0,0.0,0.0
EN00P1E1,15,28,21,0,0,0,0.0,0.0
L82113E1,19,22,75,0,0,0,0.0,0.0
HG1EM0E1,11,34,58,0,0,0,0.0,0.0
H62160E1,18,22,99,0,0,8,0.0,0.0
H61120E1,18,22,115,0,0,41,0.0,0.0
H2CS05E1,9,7,39,0,0,30,0.0,0.0
H8A009E1,18,31,105,0,0,24,0.0,0.0
C42304E1,15,31,63,0,0,0,0.0,0.0
HG2S3EE1,3,1,23,0,0,0,0.0,0.0
H6P001E1,22,35,4,0,0,1,0.0,0.0
G53RDBE1,17,37,14,0,0,3,0.0,0.0
G52ALGE1,6,25,62,0,0,0,0.0,0.0
C13571E1,8,26,8,0,0,1,0.0,0.0
F13O01E1,15,11,44,0,0,7,0.0,0.0
M3B034E1,10,28,21,0,0,4,0.0,0.0
K1AEU1E1,20,25,53,0,0,52,0.0,0.0
G12PR1E1,14,30,115,0,0,2,0.0,0.0
F13P03E1,5,5,44,0,0,0,0.0,0.0
F13X03E1,22,25,104,0,0,4,0.0,0.0
G53VIPE1,4,28,25,0,0,1,0.0,0.0
B33541E1,2,25,93,0,0,93,0.0,0.0
B33544E1,20,33,93,0,0,0,0.0,0.0
R13001E1,5,15,36,0,0,9,0.0,0.0
K41210E1,1,11,30,0,0,2,0.0,0.0
N1B408E1,1,7,14,0,0,11,0.0,0.0
C82DUAE1,20,3,12,0,0,4,0.0,0.0
F331X5E1,2,13,5,0,0,0,0.0,0.0
L82132E1,7,9,36,0,0,8,0.0,0.0
G5P002E1,18,22,60,0,0,0,0.0,0.0
V43103E1,16,7,15,0,0,18,0.0,0.0
G52OBJE1,21,28,61,0,0,1,0.0,0.0
L12310E1,2,12,21,0,0,0,0.0,0.0
L12302E1,21,26,107,0,0,106,0.0,0.0
C13565E1,8,5,19,0,0,0,0.0,0.0
H5C113E1,19,28,57,0,0,4,0.0,0.0
M31012E1,18,22,168,0,0,1,0.0,0.0
L82124E1,10,34,1,0,0,0,0.0,0.0
L12320E1,6,5,31,0,0,27,0.0,0.0
K42120E1,22,12,31,0,0,0,0.0,0.0
L13510E1,4,3,11,0,0,8,0.0,0.0
L13511E1,2,24,8,0,0,5,0.0,0.0
G13CM2E1,14,30,45,0,0,5,0.0,0.0
HG2J3BE1,1,11,119,0,0,75,0.0,0.0
J1A203E1,22,25,48,0,0,46,0.0,0.0
R13006E1,8,7,12,0,0,0,0.0,0.0
H7CSIME1,21,26,12,0,0,3,0.0,0.0
H7CSERE1,19,28,20,0,0,3,0.0,0.0
C8P002E1,10,31,22,0,0,0,0.0,0.0
H2CS06E1,19,28,50,0,0,47,0.0,0.0
H7ACS1E1,19,28,92,0,0,28,0.0,0.0
H82024E1,22,26,60,0,0,0,0.0,0.0
H7CCNGE1,11,35,25,0,0,22,0.0,0.0
AAA024E1,3,1,31,0,0,6,0.0,0.0
R43148E1,21,5,1,0,0,1,0.0,0.0
F321T6E1,18,1,18,0,0,2,0.0,0.0
H2CG03E1,21,26,43,0,0,24,0.0,0.0
R21104E1,17,37,41,0,0,1,0.0,0.0
N1B420E1,9,7,19,0,0,9,0.0,0.0
HG3S5EE1,18,28,19,0,0,2,0.0,0.0
H6C133E1,15,31,34,0,0,0,0.0,0.0
J1C122E1,6,26,10,0,0,0,0.0,0.0
M3A015E1,16,15,176,0,0,3,0.0,0.0
J5BSTME1,14,31,42,0,0,18,0.0,0.0
H7CSURE1,1,11,17,0,0,1,0.0,0.0
H72LOGE1,15,31,23,0,0,0,0.0,0.0
H2CV03E1,12,34,16,0,0,0,0.0,0.0
J1A102E1,19,27,45,0,0,44,0.0,0.0
C12332E1,20,27,48,0,0,2,0.0,0.0
J1B115E1,14,35,11,0,0,9,0.0,0.0
B32322E1,22,27,110,0,0,110,0.0,0.0
H8C039E1,3,1,69,0,0,0,0.0,0.0
J1A111E1,15,30,44,0,0,0,0.0,0.0
K4C140E1,22,8,43,0,0,0,0.0,0.0
B32327E1,20,25,110,0,0,110,0.0,0.0
N1B201E1,7,9,120,0,0,34,0.0,0.0
H22M02E1,4,35,76,0,0,53,0.0,0.0
H51200E1,23,24,71,0,0,55,0.0,0.0
H21H01E1,21,27,80,0,0,0,0.0,0.0
H7CAMFE1,17,37,30,0,0,3,0.0,0.0
N13304E1,12,33,125,0,0,39,0.0,0.0
H33CONE1,17,37,78,0,0,22,0.0,0.0
H3CDMSE1,5,4,49,0,0,0,0.0,0.0
B12320E1,22,1,6,0,0,5,0.0,0.0
B12303E1,14,22,16,0,0,0,0.0,0.0
H2CH04E1,1,11,17,0,0,11,0.0,0.0
F311M0E1,23,24,103,0,0,5,0.0,0.0
F321Q9E1,12,3,9,0,0,1,0.0,0.0
H8C043E1,20,35,34,0,0,0,0.0,0.0
C8P001E1,2,26,22,0,0,0,0.0,0.0
H21M01E1,6,5,92,0,0,2,0.0,0.0
B31101E1,2,12,107,0,0,0,0.0,0.0
J1C111E1,12,34,35,0,0,0,0.0,0.0
J1C119E1,5,5,40,0,0,10,0.0,0.0
H8C001E1,13,13,32,0,0,15,0.0,0.0
H8C019E1,22,25,58,0,0,16,0.0,0.0
H7CEPDE1,23,24,21,0,0,2,0.0,0.0
F311E1E1,19,28,106,0,0,108,0.0,0.0
H53171E1,11,34,105,0,0,0,0.0,0.0
HG1S1CE1,4,11,18,0,0,12,0.0,0.0
H3BMDYE1,5,4,106,0,0,0,0.0,0.0
C12324E1,6,5,63,0,0,42,0.0,0.0
H3CPOEE1,16,15,38,0,0,10,0.0,0.0
J1C106E1,10,34,20,0,0,0,0.0,0.0
F311B1E1,16,15,43,0,0,38,0.0,0.0
H5C112E1,16,15,26,0,0,18,0.0,0.0
H72ENTE1,8,34,17,0,0,0,0.0,0.0
H52110E1,14,30,90,0,0,0,0.0,0.0
F11P01E1,22,25,88,0,0,8,0.0,0.0
H51140E1,5,4,101,0,0,0,0.0,0.0
B31105E1,6,25,107,0,0,0,0.0,0.0
F13I03E1,1,30,15,0,0,2,0.0,0.0
L13508E1,22,26,52,0,0,42,0.0,0.0
C81JIAE1,15,3,1,0,0,1,0.0,0.0
LKB2FAE1,1,11,50,0,0,25,0.0,0.0
H81022E1,14,34,64,0,0,0,0.0,0.0
G12ME1E1,8,8,108,0,0,0,0.0,0.0
H6C152E1,17,37,44,0,0,1,0.0,0.0
C12328E1,11,34,32,0,0,0,0.0,0.0
J1B117E1,2,27,59,0,0,48,0.0,0.0
H6C162E1,4,3,60,0,0,10,0.0,0.0
B31103E1,20,34,107,0,0,0,0.0,0.0
V12127E1,5,35,17,0,0,12,0.0,0.0
B31107E1,11,8,108,0,0,0,0.0,0.0
J1C205E1,21,9,11,0,0,10,0.0,0.0
H2CT01E1,16,15,95,0,0,0,0.0,0.0
N12203E1,16,15,102,0,0,48,0.0,0.0
M33036E1,15,31,10,0,0,6,0.0,0.0
H8C002E1,11,27,33,0,0,16,0.0,0.0
V6B335E1,2,1,1,0,0,0,0.0,0.0
R82025E1,15,30,25,0,0,10,0.0,0.0
V43143E1,18,15,17,0,0,1,0.0,0.0
M1B351E1,13,22,11,0,0,4,0.0,0.0
Q8B096E1,7,26,1,0,0,0,0.0,0.0
V6B329E1,1,1,17,0,0,1,0.0,0.0
R13009E1,15,15,6,0,0,4,0.0,0.0
Q3B201E1,5,26,17,0,0,4,0.0,0.0
R83054E1,12,37,2,0,0,0,0.0,0.0
Q8B094E1,11,33,42,0,0,5,0.0,0.0
C81JIAE2,1,1,1,0,0,1,0.0,0.0
R13003E1,3,1,28,0,0,0,0.0,0.0
R8B032E1,13,4,4,0,0,0,0.0,0.0
R13022E1,23,13,19,0,0,16,0.0,0.0
R13044E1,23,28,6,0,0,1,0.0,0.0
R43149E1,1,15,8,0,0,1,0.0,0.0
N1A104E1,17,37,62,0,0,4,0.0,0.0
R11004E1,3,1,138,0,0,7,0.0,0.0
C82BCSE1,10,35,101,0,0,12,0.0,0.0
M1B363E1,7,9,37,0,0,9,0.0,0.0
Q8P010E1,2,26,1,0,0,0,0.0,0.0
AAA013E1,5,4,55,0,0,0,0.0,0.0
R12002E1,17,37,54,0,0,10,0.0,0.0
R12008E1,1,11,35,0,0,38,0.0,0.0
G11AS1E1,9,7,69,0,0,20,0.0,0.0
R21206E1,23,24,43,0,0,14,0.0,0.0
LKC3FAE1,1,11,77,0,0,49,0.0,0.0
C11105E1,9,7,163,0,0,116,0.0,0.0
Q32302E1,16,15,55,0,0,3,0.0,0.0
H7CHCME1,13,13,25,0,0,14,0.0,0.0
L3B026E1,1,11,26,0,0,10,0.0,0.0
N1B405E1,6,5,45,0,0,13,0.0,0.0
Q8B341E1,4,24,7,0,0,2,0.0,0.0
R13011E1,17,37,21,0,0,6,0.0,0.0
R22110E1,11,35,28,0,0,11,0.0,0.0
V13152E1,13,7,4,0,0,0,0.0,0.0
M1B359E1,19,28,22,0,0,9,0.0,0.0
V12115E1,7,9,13,0,0,7,0.0,0.0
M1B372E1,11,35,33,0,0,6,0.0,0.0
R12001E1,13,13,129,0,0,101,0.0,0.0
AAA034E1,15,31,26,0,0,1,0.0,0.0
V83138E1,8,8,11,0,0,0,0.0,0.0
R23209E1,11,30,17,0,0,0,0.0,0.0
C12327E1,15,31,58,0,0,0,0.0,0.0
R13005E1,1,22,27,0,0,4,0.0,0.0
L3C064E1,22,27,18,0,0,0,0.0,0.0
V13177E1,18,11,10,0,0,4,0.0,0.0
R8A011E1,9,30,8,0,0,1,0.0,0.0
L13505E1,8,8,68,0,0,0,0.0,0.0
C12321E1,4,3,68,0,0,34,0.0,0.0
Q81011E1,10,28,2,0,0,2,0.0,0.0
R83043E1,16,15,25,0,0,6,0.0,0.0
D23342E1,20,8,1,0,0,0,0.0,0.0
Q83142E1,9,4,13,0,0,0,0.0,0.0
C12338E1,18,22,57,0,0,0,0.0,0.0
Q4B104E1,5,4,14,0,0,0,0.0,0.0
L3B015E1,19,5,34,0,0,16,0.0,0.0
L13509E1,17,37,33,0,0,23,0.0,0.0
L13503E1,12,33,42,0,0,19,0.0,0.0
G111GAE1,9,7,71,0,0,72,0.0,0.0
M33053E1,16,15,28,0,0,0,0.0,0.0
C8COUAE1,1,11,37,0,0,2,0.0,0.0
V82111E1,8,8,21,0,0,0,0.0,0.0
LK10IAE1,9,7,53,0,0,20,0.0,0.0
V62200E1,16,15,37,0,0,9,0.0,0.0
R23107E1,18,22,12,0,0,1,0.0,0.0
R13021E1,19,28,26,0,0,7,0.0,0.0
V73232E1,21,25,29,0,0,0,0.0,0.0
L3B049E1,3,1,35,0,0,2,0.0,0.0
V13173E1,14,30,4,0,0,0,0.0,0.0
Q83144E1,6,11,6,0,0,1,0.0,0.0
V73127E1,9,8,15,0,0,0,0.0,0.0
R23216E1,8,7,11,0,0,0,0.0,0.0
R83036E1,17,4,12,0,0,0,0.0,0.0
R22212E1,15,30,25,0,0,5,0.0,0.0
M12365E1,17,37,41,0,0,5,0.0,0.0
Q33307E1,17,37,51,0,0,2,0.0,0.0
R23106E1,17,24,7,0,0,1,0.0,0.0
R82028E1,1,11,10,0,0,6,0.0,0.0
V43133E1,12,5,22,0,0,14,0.0,0.0
Q4B102E1,11,11,22,0,0,2,0.0,0.0
V6B306E1,11,11,16,0,0,1,0.0,0.0
Q33211E1,7,9,56,0,0,9,0.0,0.0
L13504E1,6,5,46,0,0,12,0.0,0.0
Q13017E1,12,15,2,0,0,0,0.0,0.0
Q83184E1,4,35,11,0,0,4,0.0,0.0
V81103E1,13,3,4,0,0,1,0.0,0.0
V43124E1,10,35,28,0,0,1,0.0,0.0
V12143E1,19,28,36,0,0,19,0.0,0.0
R23105E1,9,30,7,0,0,0,0.0,0.0
V6B333E1,8,34,5,0,0,0,0.0,0.0
Q8B063E1,23,13,40,0,0,19,0.0,0.0
