a,b,c,co
380,511,490,19
511,490,29,19
520,30,510,19
520,510,30,19
490,29,511,19
510,520,30,19
511,29,490,19
511,490,380,19
490,511,380,19
490,511,29,19
510,457,518,18
451,25,16,18
220,533,275,18
275,533,220,18
220,275,533,18
138,113,5,18
457,510,518,18
16,451,25,18
138,5,113,18
275,220,533,18
5,138,113,18
518,510,457,18
457,518,510,18
260,493,505,18
518,260,507,18
5,113,138,18
505,493,260,18
113,5,138,18
25,16,451,18
260,507,518,18
16,25,451,18
451,16,25,18
493,260,505,18
510,518,457,18
533,220,275,18
260,518,507,18
260,505,493,18
518,457,510,18
507,518,260,18
493,505,260,18
518,507,260,18
25,451,16,18
505,260,493,18
533,275,220,18
507,260,518,18
113,138,5,18
255,274,486,17
18,455,373,17
486,274,255,17
486,255,274,17
65,525,526,17
18,373,455,17
373,455,18,17
274,486,255,17
255,486,274,17
373,18,455,17
274,255,486,17
65,525,527,17
455,373,18,17
527,525,65,17
527,65,525,17
65,526,525,17
526,65,525,17
525,527,65,17
525,526,65,17
525,65,527,17
526,525,65,17
525,65,526,17
65,527,525,17
455,18,373,17
457,493,518,16
527,526,65,16
518,493,457,16
518,457,493,16
493,518,457,16
486,374,252,16
253,486,274,16
493,457,518,16
457,518,493,16
274,253,486,16
486,253,274,16
486,274,253,16
527,65,526,16
65,526,527,16
526,527,65,16
252,486,374,16
526,65,527,16
65,527,526,16
252,374,486,16
374,252,486,16
274,486,253,16
155,66,10,16
10,66,155,16
493,510,518,16
493,504,263,16
505,263,493,16
493,263,504,16
510,518,493,16
510,493,518,16
493,518,510,16
263,493,504,16
518,493,510,16
493,505,263,16
493,263,505,16
66,10,155,16
10,155,66,16
486,252,374,16
263,505,493,16
504,263,493,16
263,504,493,16
505,493,263,16
263,493,505,16
253,274,486,16
504,493,263,16
155,10,66,16
66,155,10,16
518,510,493,16
374,486,252,16
507,6,518,15
63,16,25,15
155,66,224,15
224,155,66,15
507,518,6,15
224,155,10,15
10,155,224,15
224,66,155,15
25,16,63,15
518,507,6,15
224,10,155,15
6,518,507,15
6,507,518,15
155,10,224,15
63,25,16,15
66,224,155,15
155,224,66,15
16,63,25,15
16,25,63,15
155,224,10,15
66,155,224,15
25,63,16,15
518,6,507,15
10,224,155,15
81,56,308,14
63,27,454,14
257,258,21,14
27,454,63,14
56,81,308,14
81,63,56,14
63,454,27,14
258,21,257,14
258,257,21,14
27,63,454,14
81,308,56,14
308,56,81,14
308,81,56,14
56,308,81,14
21,257,258,14
18,506,455,14
5,113,29,14
506,18,455,14
18,518,477,14
506,455,18,14
18,477,518,14
220,433,434,14
220,434,433,14
433,220,434,14
5,29,113,14
433,434,220,14
434,220,433,14
455,18,506,14
434,433,220,14
29,5,113,14
29,113,5,14
56,63,81,14
113,5,29,14
113,29,5,14
56,81,63,14
63,56,81,14
63,81,56,14
455,506,18,14
81,56,63,14
518,477,18,14
454,63,27,14
257,21,258,14
21,258,257,14
454,27,63,14
18,455,506,14
518,18,477,14
248,274,486,14
248,486,274,14
274,248,486,14
274,486,248,14
486,248,274,14
477,518,18,14
486,274,248,14
477,18,518,14
507,456,493,13
493,507,456,13
507,493,456,13
21,494,257,13
374,274,486,13
493,456,507,13
21,257,494,13
257,21,494,13
21,494,266,13
257,494,21,13
494,63,228,13
460,521,63,13
521,63,453,13
63,103,81,13
521,63,460,13
521,453,63,13
521,460,63,13
63,228,494,13
63,494,228,13
228,63,494,13
228,494,63,13
494,228,63,13
447,455,511,13
5,29,138,13
5,138,29,13
29,5,138,13
29,138,5,13
138,5,29,13
138,29,5,13
494,266,21,13
494,21,266,13
266,494,21,13
266,21,494,13
21,266,494,13
460,63,521,13
274,374,486,13
274,486,374,13
486,274,374,13
447,511,455,13
486,374,274,13
455,447,511,13
455,511,447,13
494,21,257,13
494,257,21,13
63,453,521,13
540,440,8,13
540,8,440,13
440,540,8,13
63,460,521,13
63,521,453,13
440,8,540,13
8,540,440,13
63,521,460,13
8,440,540,13
453,63,521,13
453,521,63,13
511,447,455,13
511,455,447,13
63,81,103,13
374,486,274,13
494,21,258,13
21,258,494,13
511,520,455,13
511,455,520,13
455,520,511,13
455,511,520,13
521,511,92,13
81,103,63,13
103,63,81,13
21,494,258,13
521,92,511,13
247,274,486,13
247,486,274,13
511,521,92,13
511,92,521,13
274,247,486,13
520,511,455,13
274,486,247,13
258,494,21,13
486,247,274,13
486,274,247,13
494,266,228,13
494,228,266,13
494,258,21,13
266,494,228,13
266,228,494,13
92,511,521,13
228,494,266,13
228,266,494,13
92,521,511,13
520,455,511,13
103,81,63,13
456,507,493,13
258,21,494,13
81,63,103,13
456,493,507,13
8,440,264,12
455,511,446,12
455,446,511,12
447,520,511,12
446,511,455,12
446,455,511,12
220,528,533,12
520,456,510,12
456,520,510,12
8,264,440,12
525,526,295,12
264,8,440,12
511,455,446,12
264,440,8,12
440,8,264,12
440,264,8,12
456,510,520,12
520,510,456,12
520,511,447,12
533,445,294,12
486,374,244,12
511,446,455,12
220,533,528,12
486,244,374,12
528,220,533,12
486,249,274,12
246,374,486,12
510,520,456,12
274,486,249,12
274,249,486,12
246,486,374,12
249,486,274,12
485,35,459,12
520,447,511,12
249,274,486,12
533,528,220,12
374,246,486,12
374,486,246,12
485,459,35,12
445,533,294,12
486,246,374,12
486,374,246,12
533,220,528,12
510,456,520,12
511,520,447,12
459,485,35,12
528,533,220,12
511,447,520,12
374,244,486,12
447,511,520,12
486,274,249,12
526,525,295,12
263,540,493,12
526,295,525,12
493,263,540,12
459,35,485,12
294,533,445,12
493,540,263,12
35,485,459,12
35,459,485,12
244,374,486,12
445,294,533,12
295,525,526,12
540,493,263,12
295,526,525,12
244,486,374,12
540,263,493,12
533,294,445,12
525,295,526,12
374,486,244,12
294,445,533,12
263,493,540,12
18,511,373,11
457,510,520,11
457,520,510,11
373,18,511,11
510,457,520,11
486,246,274,11
208,308,81,11
520,457,510,11
520,510,457,11
511,18,373,11
18,373,511,11
494,21,123,11
81,208,308,11
486,274,24,11
257,494,258,11
431,532,220,11
373,511,18,11
21,123,494,11
511,373,18,11
220,532,275,11
246,274,486,11
532,275,220,11
63,519,494,11
28,228,494,11
28,494,228,11
228,28,494,11
228,494,28,11
63,494,519,11
257,258,494,11
494,28,228,11
494,228,28,11
494,123,21,11
532,431,220,11
532,220,431,11
486,274,246,11
220,275,532,11
275,532,220,11
510,520,457,11
507,493,457,11
519,494,63,11
220,532,431,11
532,220,275,11
275,220,532,11
220,431,532,11
519,63,494,11
208,81,308,11
308,208,81,11
274,246,486,11
24,486,274,11
507,457,493,11
494,519,63,11
24,274,486,11
457,493,507,11
260,493,504,11
457,507,493,11
493,457,507,11
493,507,457,11
504,493,260,11
504,260,493,11
493,504,260,11
493,260,504,11
21,494,123,11
260,504,493,11
274,24,486,11
123,494,21,11
274,486,24,11
123,21,494,11
258,494,257,11
246,486,274,11
494,258,257,11
258,257,494,11
274,486,246,11
431,220,532,11
308,81,208,11
486,24,274,11
81,308,208,11
494,63,519,11
494,257,258,11
65,220,533,10
532,275,533,10
507,184,518,10
486,274,252,10
373,486,246,10
20,197,12,10
486,246,373,10
18,518,510,10
509,18,455,10
511,18,520,10
18,520,511,10
518,507,184,10
18,511,520,10
65,533,220,10
518,184,507,10
511,15,7,10
511,520,18,10
20,12,197,10
227,493,263,10
477,18,511,10
507,518,184,10
78,63,454,10
197,12,20,10
511,18,477,10
533,220,65,10
454,63,78,10
15,511,7,10
81,103,451,10
227,263,493,10
246,486,373,10
63,454,78,10
63,78,454,10
18,455,509,10
532,533,275,10
78,454,63,10
197,20,12,10
533,532,275,10
81,451,103,10
18,509,455,10
373,246,486,10
15,7,511,10
246,373,486,10
220,533,65,10
477,511,18,10
138,113,29,10
486,252,274,10
220,65,533,10
455,509,18,10
520,511,18,10
520,18,511,10
511,7,15,10
533,275,532,10
533,65,220,10
455,18,509,10
454,78,63,10
275,220,443,10
274,486,252,10
494,240,63,10
81,63,308,10
486,373,246,10
63,81,102,10
111,519,63,10
63,308,81,10
63,81,308,10
519,63,111,10
443,275,220,10
494,63,240,10
519,111,63,10
65,220,275,10
295,526,527,10
65,275,220,10
220,65,275,10
220,275,65,10
220,443,275,10
275,65,220,10
275,220,65,10
29,113,138,10
447,18,511,10
275,532,533,10
274,252,486,10
295,525,527,10
295,527,525,10
511,18,447,10
240,63,494,10
443,220,275,10
308,81,63,10
308,63,81,10
63,494,240,10
63,240,494,10
511,477,18,10
447,511,18,10
63,111,519,10
63,519,111,10
111,63,519,10
527,526,295,10
295,527,526,10
527,525,295,10
527,295,526,10
527,295,525,10
526,527,295,10
81,308,63,10
526,295,527,10
275,443,220,10
525,527,295,10
240,494,63,10
525,295,527,10
18,511,447,10
275,533,532,10
511,447,18,10
7,511,15,10
18,447,511,10
455,394,511,10
455,511,394,10
511,394,455,10
511,455,394,10
81,63,102,10
113,29,138,10
113,138,29,10
138,29,113,10
81,102,63,10
509,455,18,10
7,15,511,10
252,274,486,10
184,507,518,10
184,518,507,10
252,486,274,10
486,373,19,10
486,19,373,10
373,486,19,10
373,19,486,10
19,486,373,10
19,373,486,10
394,455,511,10
394,511,455,10
510,18,518,10
12,197,20,10
18,477,511,10
18,511,477,10
102,81,63,10
493,263,227,10
493,227,263,10
220,275,443,10
12,20,197,10
102,63,81,10
103,81,451,10
263,493,227,10
63,102,81,10
518,18,510,10
451,81,103,10
18,510,518,10
263,227,493,10
518,510,18,10
510,518,18,10
29,138,113,10
451,103,81,10
103,451,81,10
18,508,455,9
18,455,508,9
373,455,511,9
218,493,260,9
63,102,56,9
218,260,493,9
63,56,102,9
455,18,508,9
518,446,510,9
455,508,18,9
541,494,259,9
494,266,97,9
102,63,56,9
220,434,443,9
540,493,260,9
540,260,493,9
451,510,512,9
451,512,510,9
512,510,451,9
512,451,510,9
493,540,260,9
493,260,540,9
260,540,493,9
260,493,540,9
493,373,263,9
493,263,373,9
373,493,263,9
373,263,493,9
97,494,21,9
263,493,373,9
263,373,493,9
443,220,533,9
494,97,266,9
460,453,447,9
443,434,220,9
266,494,97,9
508,18,455,9
443,533,220,9
443,220,434,9
508,455,18,9
434,443,220,9
434,220,443,9
102,56,63,9
220,443,434,9
97,266,494,9
259,494,541,9
97,494,266,9
259,541,494,9
447,453,460,9
494,259,541,9
373,511,455,9
453,447,460,9
494,541,259,9
453,460,447,9
266,97,494,9
541,259,494,9
460,447,453,9
447,460,453,9
432,65,220,9
56,102,63,9
485,35,467,9
220,528,431,9
431,220,528,9
467,35,459,9
467,35,485,9
467,459,35,9
467,485,35,9
485,467,35,9
220,431,528,9
431,528,220,9
477,18,507,9
477,507,18,9
446,510,518,9
446,518,510,9
532,443,220,9
459,467,35,9
21,28,494,9
220,432,65,9
510,493,456,9
493,456,510,9
65,432,220,9
65,220,432,9
493,510,456,9
220,533,443,9
510,456,493,9
35,485,467,9
21,494,28,9
459,35,467,9
494,28,21,9
494,21,28,9
18,507,477,9
28,494,21,9
28,21,494,9
528,220,431,9
528,431,220,9
510,446,518,9
65,435,63,9
63,435,65,9
486,253,255,9
486,255,253,9
435,65,63,9
65,63,435,9
435,63,65,9
511,394,18,9
532,220,443,9
511,18,394,9
507,477,18,9
394,511,18,9
18,394,511,9
18,511,394,9
507,18,477,9
255,486,253,9
63,65,435,9
255,253,486,9
253,486,255,9
253,255,486,9
30,380,511,9
30,511,380,9
518,510,446,9
380,30,511,9
380,511,30,9
510,518,446,9
511,30,380,9
511,380,30,9
220,443,532,9
220,532,443,9
443,220,532,9
443,532,220,9
220,65,432,9
35,467,485,9
35,467,459,9
511,63,460,9
374,486,77,9
21,97,494,9
374,77,486,9
77,486,374,9
511,63,521,9
77,374,486,9
510,451,512,9
6,510,520,9
63,511,521,9
511,63,453,9
460,511,63,9
6,520,510,9
460,63,511,9
510,6,520,9
453,511,63,9
456,510,493,9
511,453,63,9
494,97,21,9
486,77,374,9
486,374,77,9
494,21,97,9
260,218,493,9
220,443,533,9
56,63,102,9
97,21,494,9
455,373,511,9
510,512,451,9
533,220,443,9
455,511,373,9
21,494,97,9
260,493,218,9
521,511,63,9
521,63,511,9
511,521,63,9
511,460,63,9
63,521,511,9
453,63,511,9
520,6,510,9
510,520,6,9
394,18,511,9
454,27,521,9
454,521,27,9
521,27,454,9
521,454,27,9
432,220,65,9
511,455,373,9
511,373,455,9
493,260,218,9
520,510,6,9
533,443,220,9
18,477,507,9
493,218,260,9
27,521,454,9
27,454,521,9
63,453,511,9
456,493,510,9
63,460,511,9
35,459,467,9
63,511,453,9
63,511,460,9
532,528,533,8
528,533,532,8
528,532,533,8
532,533,528,8
380,286,511,8
102,435,56,8
380,511,286,8
286,380,511,8
435,56,102,8
435,102,56,8
102,56,435,8
18,373,507,8
18,507,373,8
244,486,373,8
373,18,507,8
286,511,380,8
244,373,486,8
56,102,435,8
373,507,18,8
56,435,102,8
507,18,373,8
507,373,18,8
511,286,380,8
103,55,81,8
533,528,532,8
103,81,308,8
19,8,373,8
19,373,8,8
19,505,373,8
81,308,103,8
81,103,308,8
19,373,505,8
373,8,19,8
373,19,8,8
244,245,486,8
454,92,63,8
454,63,92,8
92,454,63,8
92,63,454,8
63,454,92,8
63,92,454,8
244,486,245,8
8,440,504,8
8,373,19,8
103,308,81,8
440,8,504,8
308,81,103,8
81,103,55,8
81,55,103,8
103,81,55,8
55,103,81,8
55,81,103,8
103,56,55,8
103,55,56,8
56,103,55,8
56,55,103,8
55,103,56,8
55,56,103,8
505,373,19,8
505,19,373,8
373,505,19,8
373,19,505,8
8,19,373,8
308,103,81,8
8,504,440,8
244,249,486,8
533,295,220,8
493,263,19,8
56,81,102,8
56,102,81,8
486,244,245,8
81,56,102,8
486,245,244,8
81,102,56,8
486,244,373,8
373,486,244,8
373,244,486,8
102,56,81,8
102,81,56,8
511,380,286,8
220,295,533,8
220,533,295,8
295,220,533,8
533,532,528,8
533,220,295,8
486,373,244,8
493,19,263,8
440,504,8,8
263,493,19,8
244,486,249,8
504,8,440,8
504,440,8,8
249,486,244,8
259,519,541,8
259,541,519,8
486,244,249,8
486,249,244,8
519,259,541,8
519,541,259,8
541,259,519,8
541,519,259,8
245,244,486,8
245,486,244,8
19,263,493,8
19,493,263,8
263,19,493,8
249,244,486,8
295,533,220,8
260,63,493,8
27,454,78,8
78,27,454,8
63,260,493,8
63,493,260,8
260,493,63,8
78,454,27,8
493,63,260,8
493,260,63,8
275,528,533,8
275,533,528,8
528,275,533,8
528,533,275,8
533,275,528,8
533,528,275,8
19,318,380,8
19,380,318,8
318,19,380,8
318,380,19,8
380,19,318,8
380,318,19,8
483,57,58,8
483,58,57,8
4,511,521,8
260,493,507,8
260,507,493,8
493,260,507,8
58,483,57,8
63,458,470,8
274,247,24,8
58,57,483,8
470,458,63,8
247,274,24,8
470,63,458,8
247,24,274,8
24,274,247,8
19,252,486,8
27,78,454,8
19,486,252,8
458,470,63,8
252,19,486,8
252,486,19,8
16,63,466,8
458,63,470,8
533,275,65,8
533,65,275,8
486,19,252,8
275,533,65,8
486,252,19,8
275,65,533,8
63,470,458,8
65,533,275,8
24,247,274,8
65,275,533,8
57,58,483,8
57,483,58,8
493,507,260,8
507,260,493,8
454,27,78,8
507,493,260,8
18,455,518,8
18,518,455,8
455,18,518,8
455,518,18,8
518,18,455,8
518,455,18,8
432,294,533,8
486,373,274,8
294,533,432,8
294,432,533,8
466,63,16,8
466,16,63,8
486,274,373,8
373,486,274,8
92,453,460,8
92,460,453,8
453,92,460,8
453,460,92,8
373,274,486,8
274,486,373,8
460,92,453,8
460,453,92,8
63,466,16,8
274,373,486,8
63,16,466,8
432,533,294,8
533,294,432,8
533,432,294,8
136,454,63,8
510,6,4,8
510,4,6,8
486,246,19,8
6,510,4,8
6,4,510,8
486,19,246,8
454,136,63,8
4,510,6,8
454,63,136,8
454,78,27,8
4,6,510,8
246,486,19,8
486,274,251,8
136,63,454,8
246,19,486,8
63,454,136,8
63,136,454,8
19,486,246,8
19,246,486,8
251,274,486,8
251,486,274,8
274,251,486,8
274,486,251,8
486,251,274,8
274,24,247,8
16,466,63,8
451,510,455,8
464,511,63,8
123,116,21,8
451,455,510,8
455,451,510,8
21,116,123,8
116,21,123,8
511,464,63,8
123,21,116,8
511,63,464,8
4,521,511,8
455,510,451,8
510,451,455,8
63,464,511,8
510,455,451,8
511,521,4,8
63,511,464,8
21,123,116,8
464,63,511,8
521,4,511,8
116,123,21,8
521,511,4,8
511,4,521,8
373,18,518,7
18,373,518,7
510,260,518,7
18,518,373,7
486,247,245,7
18,510,6,7
519,228,111,7
220,528,532,7
373,518,18,7
220,532,528,7
518,18,373,7
294,445,526,7
518,373,18,7
295,82,63,7
295,63,82,7
519,111,228,7
528,220,532,7
82,295,63,7
533,443,275,7
230,348,75,7
294,526,445,7
229,116,494,7
443,275,533,7
380,286,490,7
443,533,275,7
526,445,294,7
518,510,260,7
518,260,510,7
526,294,445,7
247,486,245,7
229,494,116,7
75,230,348,7
533,275,443,7
445,526,294,7
75,348,230,7
510,518,260,7
230,75,348,7
486,245,247,7
286,490,380,7
286,380,490,7
511,18,521,7
445,294,526,7
228,519,111,7
82,63,295,7
111,228,519,7
228,111,519,7
521,18,511,7
494,28,266,7
494,266,28,7
294,528,526,7
18,373,506,7
260,518,510,7
510,7,15,7
348,230,75,7
521,511,18,7
510,15,7,7
532,528,220,7
526,294,528,7
116,494,229,7
111,519,228,7
511,521,18,7
526,528,294,7
116,229,494,7
28,63,494,7
28,494,63,7
528,294,526,7
63,28,494,7
528,526,294,7
63,494,28,7
494,28,63,7
260,510,518,7
294,526,528,7
266,494,28,7
266,28,494,7
28,494,266,7
63,295,82,7
63,82,295,7
348,75,230,7
247,245,486,7
58,315,483,7
58,483,315,7
315,58,483,7
315,483,58,7
483,58,315,7
260,295,493,7
260,493,295,7
7,15,510,7
295,260,493,7
7,510,15,7
295,493,260,7
528,532,220,7
493,260,295,7
15,7,510,7
493,295,260,7
15,510,7,7
483,315,58,7
532,220,528,7
28,266,494,7
380,490,286,7
220,104,533,7
490,286,380,7
507,493,263,7
123,115,116,7
123,115,494,7
494,436,21,7
123,116,115,7
123,494,115,7
494,115,123,7
494,123,115,7
25,16,530,7
493,507,263,7
25,530,16,7
507,263,493,7
530,16,25,7
494,21,436,7
493,263,457,7
457,493,263,7
457,263,493,7
530,25,16,7
29,286,490,7
29,490,286,7
263,493,457,7
263,457,493,7
65,453,460,7
18,6,510,7
286,29,490,7
272,264,8,7
116,123,115,7
490,380,286,7
115,494,123,7
263,507,493,7
510,6,18,7
493,457,263,7
263,493,507,7
510,18,6,7
275,431,220,7
115,116,123,7
115,123,116,7
275,220,431,7
115,123,494,7
220,431,275,7
21,436,494,7
272,8,264,7
21,494,436,7
220,275,431,7
436,21,494,7
436,494,21,7
16,25,530,7
16,530,25,7
8,264,272,7
8,272,264,7
116,115,123,7
264,8,272,7
264,272,8,7
6,510,18,7
286,490,29,7
464,380,63,7
245,247,486,7
445,432,294,7
453,460,65,7
275,443,533,7
460,65,453,7
533,220,104,7
533,104,220,7
275,533,443,7
494,229,116,7
220,434,435,7
494,116,229,7
220,435,434,7
434,220,435,7
490,29,286,7
460,453,65,7
434,435,220,7
245,486,247,7
435,220,434,7
220,533,104,7
435,434,220,7
493,263,507,7
104,533,220,7
18,511,521,7
104,220,533,7
18,521,511,7
467,459,81,7
467,81,459,7
459,467,81,7
445,294,432,7
486,274,42,7
486,42,274,7
274,486,42,7
274,42,486,7
490,286,29,7
464,63,380,7
42,486,274,7
42,274,486,7
380,464,63,7
431,220,275,7
380,63,464,7
431,275,220,7
63,464,380,7
63,380,464,7
6,18,510,7
294,432,445,7
294,445,432,7
432,294,445,7
453,65,460,7
432,445,294,7
81,459,467,7
81,467,459,7
459,81,467,7
65,460,453,7
455,18,447,7
274,486,245,7
294,528,445,7
435,434,543,7
454,136,78,7
453,295,460,7
486,436,374,7
445,294,528,7
445,528,294,7
486,274,245,7
81,308,92,7
486,374,436,7
454,295,78,7
295,78,454,7
295,454,78,7
78,136,454,7
447,18,455,7
373,506,18,7
436,486,374,7
486,245,274,7
81,92,308,7
528,445,294,7
78,295,454,7
6,18,511,7
486,42,19,7
78,454,136,7
506,373,18,7
103,81,208,7
103,208,81,7
208,81,103,7
454,78,136,7
543,435,434,7
543,434,435,7
208,103,81,7
295,460,453,7
295,453,460,7
511,18,6,7
92,81,308,7
511,6,18,7
294,445,528,7
506,18,373,7
435,543,434,7
136,454,78,7
78,454,295,7
136,78,454,7
18,447,455,7
18,455,447,7
460,453,295,7
434,435,543,7
528,294,445,7
455,447,18,7
18,506,373,7
19,486,42,7
274,245,486,7
374,436,486,7
494,63,28,7
374,486,436,7
436,374,486,7
453,460,295,7
308,92,81,7
42,486,19,7
434,543,435,7
81,103,208,7
308,81,92,7
373,18,506,7
245,486,274,7
245,274,486,7
18,511,6,7
81,208,103,7
486,19,42,7
447,455,18,7
92,308,81,7
460,295,453,7
6,511,18,7
19,42,486,7
18,6,511,7
454,78,295,7
42,19,486,7
485,146,459,6
28,228,266,6
272,8,440,6
266,28,228,6
20,494,28,6
286,490,511,6
116,115,494,6
259,494,28,6
494,20,28,6
20,28,494,6
494,111,541,6
111,519,28,6
519,494,395,6
533,532,435,6
272,440,8,6
116,494,115,6
8,272,440,6
111,494,28,6
28,494,259,6
266,228,28,6
18,510,520,6
18,520,510,6
228,266,28,6
78,435,454,6
510,18,520,6
286,511,490,6
510,520,18,6
28,259,494,6
28,494,20,6
520,18,510,6
81,295,308,6
520,510,18,6
228,494,97,6
259,28,494,6
228,97,494,6
228,28,266,6
111,541,494,6
28,20,494,6
8,440,272,6
111,28,494,6
28,266,228,6
283,343,535,6
111,28,519,6
283,535,343,6
78,454,435,6
490,511,207,6
65,528,533,6
374,42,486,6
374,486,42,6
65,453,521,6
486,42,374,6
535,343,283,6
486,374,42,6
490,207,511,6
506,493,263,6
485,459,146,6
490,207,29,6
373,455,506,6
97,228,494,6
490,29,207,6
65,533,528,6
65,460,521,6
42,486,374,6
528,443,533,6
65,19,535,6
65,535,19,6
535,19,65,6
528,533,443,6
528,533,65,6
511,29,207,6
535,65,19,6
21,116,494,6
82,63,435,6
528,65,533,6
443,533,528,6
42,374,486,6
443,528,533,6
65,521,453,6
373,506,455,6
455,373,506,6
97,494,228,6
494,116,115,6
506,455,373,6
297,392,411,6
511,457,518,6
518,65,507,6
507,518,65,6
507,65,518,6
65,518,507,6
494,28,20,6
65,507,518,6
343,535,283,6
494,541,111,6
343,283,535,6
494,115,116,6
297,411,392,6
518,507,65,6
440,8,272,6
207,511,490,6
29,490,207,6
207,511,29,6
207,490,511,6
207,490,29,6
207,29,511,6
207,29,490,6
29,511,207,6
29,207,511,6
440,272,8,6
29,207,490,6
455,506,373,6
252,274,374,6
535,283,343,6
252,374,274,6
506,373,455,6
111,494,541,6
442,373,19,6
494,28,259,6
411,392,297,6
507,60,18,6
521,454,78,6
220,432,528,6
58,435,483,6
58,483,435,6
19,442,373,6
435,58,483,6
4,510,520,6
435,483,58,6
220,434,539,6
483,58,435,6
483,435,58,6
28,111,494,6
528,432,220,6
65,479,449,6
511,490,286,6
220,443,432,6
518,18,60,6
507,18,60,6
449,65,479,6
454,521,78,6
60,507,18,6
29,521,511,6
521,78,454,6
29,511,521,6
220,432,443,6
511,286,490,6
60,518,18,6
454,435,136,6
373,442,19,6
457,511,518,6
220,539,434,6
373,19,442,6
454,136,435,6
4,520,510,6
220,528,432,6
521,511,29,6
8,26,440,6
65,449,479,6
432,443,220,6
432,528,220,6
8,440,26,6
411,297,392,6
505,375,19,6
505,19,375,6
375,505,19,6
375,19,505,6
19,505,375,6
19,375,505,6
532,435,533,6
494,116,21,6
435,533,532,6
494,21,116,6
136,435,454,6
26,8,440,6
528,220,432,6
520,510,4,6
532,533,435,6
